PubmedID,Title,Publication Date,Non-Academic Authors,Company Affiliations,Corresponding Author Email
40066333,Cepharanthine hydrochloride: a novel ferroptosis-inducing agent for prostate cancer treatment.,2025-Unknown,None,"Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China., Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China., Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China., Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China., Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China., Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China., Guangdong Provincial Key Laboratory of Large Animal Models for Biomedicine, South China Institute of Large Animal Models for Biomedicine, School of Pharmacy and Food Engineering, Wuyi University, Jiangmen, China.",Not Available
40066330,Potential mechanism of traditional Chinese medicine intervention in gastric cancer: targeted regulation of autophagy.,2025-Unknown,Xiangyu Li,None,Not Available
40066322,Biomimetic Self-Oxygenated Immunoliposome for Cancer-Targeted Photodynamic Immunotherapy.,2025-Unknown,None,None,Not Available
40066281,,2025-Unknown,"Dimos Baltas, Ilias Sachpazidis",None,Not Available
40066280,Real World Evidence on Hormone Receptor Positive and Human Epidermal Growth Factor Receptor 2 Negative Metastatic Breast Cancer in Italy: Insights From 2017 to 2021 Data.,2025-Unknown,None,None,Not Available
40066272,The landscape of biofilm models for phage therapy: mimicking biofilms in diabetic foot ulcers using 3D models.,2025-Unknown,None,None,Not Available
40066262,Integrated Single-Step Terahertz Metasensing for Simultaneous Detection Based on Exosomal Membrane Proteins Enables Pathological Typing of Gastric Cancer.,2025-Unknown,None,"Department of General Surgery, The 901st Hospital of PLA, Hefei 230031, Anhui Province, China., Department of Critical Care Medicine in 83rd Group Army Hospital, Xinxiang City 453000, Henan Province, China.",Not Available
40066251,Exploring the underlying molecular connections: a bioinformatics approach to link melanoma and Parkinson's disease.,2025-Unknown,None,None,Not Available
40066250,Effectiveness of a Four-Stage Death Education Model Based on Constructivist Learning Theory for Trainee Nursing Students.,2025-Unknown,None,"Fundamental Nursing Teaching- Research Department, Fenyang College of Shanxi Medical University, Fenyang City, Shanxi Province, 032200, People's Republic of China., Academic Affairs Office, Fenyang College of Shanxi Medical University, Fenyang City, Shanxi Province, 032200, People's Republic of China., Department of Radiation Oncology, Shanxi Cancer Hospital, Taiyuan City, Shanxi Province, 030013, People's Republic of China., Department of Research and Teaching, China Aerospace Science and Industry Corporation 731 Hospital, Beijing City, 100074, People's Republic of China., Fundamental Nursing Teaching- Research Department, Fenyang College of Shanxi Medical University, Fenyang City, Shanxi Province, 032200, People's Republic of China.",Not Available
40066248,The Effect of Nonalcoholic Fatty Liver Disease on Extrahepatic Cancers: Evidence From Population-Based Cohort and Mendelian Randomization.,2025-Mar-Unknown,None,None,Not Available
40066231,The Role of Yes-Associated Protein in Inflammatory Diseases and Cancer.,2025-Mar-Unknown,None,None,Not Available
40066226,Depletion of Acetyl-CoA Carboxylase 1 Facilitates Epithelial-Mesenchymal Transition in Prostate Cancer Cells by Activating the MAPK/ERK Pathway.,2025-Mar-Unknown,None,"Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of Guangzhou Medical University Guangzhou China., Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of Guangzhou Medical University Guangzhou China., Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of Guangzhou Medical University Guangzhou China., Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of Guangzhou Medical University Guangzhou China., Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of Guangzhou Medical University Guangzhou China., Guangzhou National Laboratory Guangzhou Guangdong Province China., Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of Guangzhou Medical University Guangzhou China., Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of Guangzhou Medical University Guangzhou China., Guangdong Provincial Key Laboratory of Urology The First Affiliated Hospital of Guangzhou Medical University Guangzhou China.",Not Available
40066210,Prefectural Survey on Immune Checkpoint Inhibitor-Associated Myocarditis at the Start of the Basic Plan to Promote Cancer Control Programs - Phase 4.,2025-Mar-10,None,None,Not Available
40066190,Diagnostic Accuracy of Indocyanine Green-stained Sentinel Lymph Nodes in Prostate Cancer Patients: A Systematic Review and Meta-analysis.,2025-Apr-Unknown,"Yi-Ju Chou, Chia-Lun Chang, Yao-Chou Tsai",None,Not Available
40066168,Editorial: Women in science - gastroenterology 2023.,2025-Unknown,Carmen Peralta Uroz,None,Not Available
40066127,"Regulation of Apoptosis, Autophagy, and Metastasis by Luteolin in Human Bladder Cancer EJ138 Cells: An Experimental Study.",2024-Unknown,None,None,Not Available
40066116,Apoptotic Impact of Heliox Cold Plasma on a Cervical Cell Line Using Gold Nanoparticle-Doped Graphene Oxide Nanosheets.,2024-Unknown,None,None,Not Available
40066115,"Melatonin Aids in Treating Mood and Sleep Problems Resulting from Hormonal Therapy in Breast Cancer Patients: A Randomized, Double-Blinded, Placebo-Controlled Trial.",2024-Unknown,None,None,Not Available
40066114,Malleatin A and B: New Premyrsine-Type Diterpenes from ,2024-Unknown,None,None,Not Available
40066113,"Evaluation of Oral Nano-Silymarin Formulation Efficacy in the Prevention of Hand-Foot Syndrome and Neuropathy Induced by XELOX or m-FOLFOX6 Regimens in Metastatic Colorectal Cancer: A Triple-Blinded, Randomized Clinical Trial.",2024-Unknown,None,None,Not Available
40066100,Cardiovascular toxicity induced by immunotherapy in non-small cell lung cancer: a systematic review and meta-analysis of observational studies.,2025-Unknown,None,None,Not Available
40066098,An overview of the current evidences on the role of iron in colorectal cancer: a review.,2025-Unknown,None,None,Not Available
40066096,The post-orchiectomy systemic inflammatory index is associated with tumor characteristics in clinical stage I germ cell tumors.,2025-Unknown,None,None,Not Available
40066095,Efficacy and safety of nanoparticle albumin-bound paclitaxel plus cisplatin or nedaplatin plus tegafur/gimeracil/oteracil as induction chemotherapy regimen for hypopharyngeal cancer.,2025-Unknown,None,None,Not Available
40066092,Engineered exosomes restore miR-508-5p expression in uterine corpus endometrial carcinoma and reduce tumor progression and metastasis by targeting DLL3.,2025-Unknown,None,None,Not Available
